label,score,cloudMid,cloudHigh,cloudLow,cloudTotal,humidity,visibility,pressure,precip,wind
0,42,0,0,0,1,69,0,1011.9,0,7.6
0,40,15,0,27,27,100,300,1010.6,5,4.7
0,34,0,2,0,2,24,0,1005.4,0,3.4
0,66,11,97,8,97,50,0,1006,0,2.3
0,30,99,11,100,100,98,0,1024.6,0,12.7
0,38,20,50,82,92,91,0,984.1,0.4,25.4
0,8,79,0,88,98,98,0,990.7,0.3,15.9
0,29,6,2,91,91,89,0,1013.5,0,19.2
0,61,26,94,78,99,83,0,1032.3,0,6.3
0,54,5,0,15,16,83,0,1004.1,0,10.7
0,44,0,0,0,0,18,84800,1009.2,0,4
0,28,0,0,0,0,0,0,0,0,0
0,40,0,0,0,0,46,0,1034.7,0,4.2
0,47,0,0,1,1,63,0,1007.2,0,3.1
0,60,0,0,0,0,82,30560,1035.1,0,8.6
0,29,92,100,100,100,91,0,994.1,0.6,29.3
0,42,98,100,28,100,78,0,1004.9,0.2,11.6
0,24,75,100,67,100,86,24140,1012.5,0.1,11.9
0,32,66,0,38,75,87,0,1025.7,0.4,6.4
0,0,100,100,100,100,90,100,1024.6,2.5,25.3
0,55,7,36,39,60,87,0,1004.1,0,10.5
0,28,100,76,100,100,98,2200,994.8,3.6,8.3
0,40,100,100,87,100,96,3100,998.2,0.7,1.5
0,35,0,0,0,0,84,0,1012.8,0,9.1
0,60,4,97,0,97,82,24140,1004.2,0,7.4
0,51,7,0,0,8,81,0,1006.1,0,3.6
0,50,92,0,96,99,96,2700,1012.7,0.4,14
0,21,0,0,99,99,83,0,1042.1,0,2.7
0,68,20,38,13,51,67,0,1019.8,0,13.4
0,68,14,58,0,63,62,0,1009.5,0,10
0,66,33,38,7,59,77,0,1002.3,0.1,16.5
0,46,31,8,29,39,52,0,1017.1,0,10.2
0,48,1,0,0,1,63,0,1015.6,0,9.7
0,52,0,0,0,0,72,22500,1014.1,0,13
0,40,0,0,0,0,75,0,1008,0,25.1
0,60,5,1,0,5,59,24140,1012.6,0,9.4
0,56,66,23,10,70,70,0,1004.8,0.1,27.2
0,28,0,0,0,0,0,0,0,0,0
0,48,0,5,3,8,86,0,1023.6,0,7.6
0,24,92,0,96,97,86,0,1016.3,0,11.7
0,58,0,98,4,99,76,0,1009.3,0,15.8
0,38,0,0,6,6,79,0,1011.8,0,13.8
0,39,12,0,2,13,73,0,1010.5,0,12
0,61,0,0,0,0,38,0,1018.6,0,18.3
0,64,3,86,4,88,82,0,1022.1,0,6.6
0,40,0,0,0,0,65,0,1028.1,0,11.2
0,48,100,97,100,100,73,0,1009.7,0,5.6
0,39,16,0,21,24,71,0,1013.6,0,25.6
0,34,0,97,89,100,77,0,1015.8,0,4.7
0,38,26,14,100,100,59,0,1006.7,0,29.8
0,43,0,0,0,0,76,0,1017.4,0,4.7
0,38,100,93,16,100,92,0,1015.9,0.2,3.9
0,48,100,100,13,100,87,0,1004,0,28.1
0,60,4,20,14,31,83,0,1016.1,0,18
0,43,0,0,0,0,11,90000,1008.6,0,20
0,72,42,19,0,42,42,47300,1008.2,0,9.8
0,38,2,0,0,2,28,0,1009.5,0,9.1
0,64,56,100,0,100,41,0,1014.2,0,6.3
0,61,5,5,0,9,62,0,1014.7,0,7
0,58,5,15,0,21,53,0,1011.5,0,7.8
0,28,0,0,0,0,0,0,0,0,0
0,35,0,0,0,0,83,0,1031.6,0,10.5
0,58,31,20,0,45,68,0,1015.1,0,8.3
0,27,100,99,99,100,72,0,1009.5,0,5.6
0,60,0,100,0,100,54,24140,1000.9,0,3.3
0,56,11,2,0,12,59,0,1004.4,0,17.7
0,38,97,99,7,100,90,0,1005.6,1,3.6
0,28,0,0,0,0,0,0,0,0,0
0,48,6,98,0,99,73,0,1003.8,0,7.6
0,35,0,100,0,100,94,24140,1001,0,11.1
0,55,54,17,0,58,82,0,999.5,0.4,7.1
0,72,0,46,0,46,37,24140,1007.3,0,2.3
0,40,0,0,0,0,55,0,1027.5,0,8.2
0,54,5,97,80,99,74,0,1021.5,0,6.1
